userid,items
1015928,"[322618, 462746, 23634, 238902, 266843]"
820159,"[111306, 253615, 243880, 48803, 309275]"
1024334,"[221900, 445776, 236512, 61303, 79149]"
1227377,"[340178, 301822, 414695, 341928, 97294]"
829289,"[107875, 399069, 260256, 390799, 346673]"
572644,"[253615, 65273, 334536, 234613, 258508]"
964794,"[189764, 258600, 465751, 465751, 9877]"
844618,"[109317, 30964, 367334, 458733, 45237]"
797409,"[450156, 125906, 179834, 424506, 89775]"
702279,"[379013, 211592, 450641, 212899, 73359]"
438441,"[322957, 259467, 108452, 211561, 29725]"
892355,"[72299, 51556, 282988, 460553, 384744]"
792741,"[255908, 409804, 407506, 261673, 80754]"
502832,"[84475, 441668, 81720, 333798, 69365]"
601836,"[465522, 249016, 259501, 191203, 89822]"
1394708,"[181227, 162139, 144991, 139725, 65286]"
962631,"[390857, 390857, 302307, 59765, 450135]"
719708,"[177543, 137697, 464731, 331514, 82409]"
1032742,"[136766, 441256, 314765, 441050, 277106]"
475172,"[13925, 463002, 232780, 235352, 372389]"
400676,"[230842, 233203, 62599, 62599, 150641]"
566009,"[187719, 397602, 247842, 77647, 220540]"
12579,"[284463, 317819, 135856, 218126, 227869]"
1343677,"[418746, 342264, 192288, 311464, 223944]"
278241,"[402462, 164344, 312163, 298505, 172606]"
1229828,"[412865, 359863, 18252, 463596, 245985]"
531661,"[224184, 416170, 416170, 55706, 302239]"
783557,"[275677, 297641, 327408, 340200, 366239]"
1381830,"[306034, 283916, 283916, 438412, 438412]"
962131,"[103492, 115258, 445351, 445351, 11279]"
